epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8767,2.22306,3.79716,2.26407,0.00371,0.84764,0.15991,0.05357,2.20554,3.83137,2.50248,0.000362454,0.000362454,0.000362454
2,25.8947,2.1005,3.06458,2.07554,0.52288,0.14792,0.11024,0.02392,2.50016,3.3719,2.87,0.000730369,0.000730369,0.000730369
3,35.8018,2.06428,2.86565,2.13114,0.30159,0.23017,0.11117,0.02771,2.52687,3.19911,2.97921,0.00109584,0.00109584,0.00109584
4,45.7212,2.09056,2.68956,2.13658,0.43311,0.09359,0.10076,0.02857,2.77518,2.79811,2.89565,0.0011,0.0011,0.0011
5,55.5999,2.07171,2.5796,2.11459,0.32278,0.11458,0.06646,0.01568,2.81517,3.87551,2.92938,0.00109633,0.00109633,0.00109633
6,65.4724,2.05486,2.44279,2.12185,0.52195,0.23883,0.10308,0.02999,2.57375,2.66624,2.83631,0.00109267,0.00109267,0.00109267
7,75.2821,1.95606,2.23549,1.99797,0.29399,0.2411,0.09652,0.0267,2.64024,2.86706,2.81197,0.001089,0.001089,0.001089
8,85.208,1.92716,2.11877,1.99787,0.46086,0.22249,0.13449,0.04313,2.71369,3.4916,2.95426,0.00108534,0.00108534,0.00108534
9,94.9314,1.88894,2.0021,1.9345,0.30843,0.26892,0.1316,0.03557,2.65082,2.36601,2.76137,0.00108167,0.00108167,0.00108167
10,104.818,1.81017,1.90706,1.88137,0.57785,0.22834,0.18245,0.04897,2.67252,2.27759,2.98947,0.001078,0.001078,0.001078
11,114.525,1.79954,1.9064,1.88207,0.42872,0.22562,0.18477,0.04668,2.58542,2.3708,2.81152,0.00107434,0.00107434,0.00107434
12,124.228,1.75796,1.80979,1.85003,0.43444,0.19506,0.22802,0.08713,2.52244,2.29252,2.84715,0.00107067,0.00107067,0.00107067
13,133.955,1.71132,1.69538,1.81218,0.39649,0.29267,0.21132,0.07078,2.62218,2.28374,2.92996,0.001067,0.001067,0.001067
14,143.73,1.6772,1.67573,1.7904,0.24538,0.23557,0.18066,0.04632,2.6792,2.3077,3.11397,0.00106334,0.00106334,0.00106334
15,153.396,1.61581,1.5874,1.76894,0.61887,0.14405,0.23013,0.065,2.7534,2.59922,3.32097,0.00105967,0.00105967,0.00105967
